x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(for_ssn),cnd(wek),cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_hyd),cnd(trg_lnr),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(Grz.Ber),cnd(z.esk_dst_m),cnd(Gry.Wlf:Mos),cnd(Gry.Wlf:Msk),cnd(Grz.Ber:Mos),cnd(Grz.Ber:Msk),df,logLik,AICc,delta,weight
glmm_wk_fourssn,-5.782,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,6,-3075.123,6162.3,0,1
glmm_wk_wk,-9.859,+,+,,0.0729,,,,,,,,,,,,,,,,,,,,,,,4,-3251.874,6511.8,349.5,0
glmm_wk_lcc_2,-7.58,+,+,,,0.7878,1.452,2.687,4.294,0.1731,1.466,-0.5589,2.189,1.317,,,,,,,,,,,,,,12,-3344.978,6714,551.73,0
glmm_wk_comm_bu_tgt,-7.89,+,+,,,0.9294,1.711,3.205,5.094,0.9004,2.447,0.13,2.674,1.531,0.4858,-0.31,+,+,,,,,-0.423,,,,,19,-3338.236,6714.5,552.28,0
glmm_wk_comm_bu,-7.724,+,+,,,0.8242,1.561,2.852,4.569,0.4142,1.921,-0.2142,2.352,1.375,0.2221,-0.1597,,,,,,,-0.4773,,,,,15,-3342.793,6715.6,553.37,0
glmm_wk_esker,-7.269,+,+,,,,,,,,,,,,,,,,,,,,-2.298,,,,,4,-3396.414,6800.8,638.58,0
glmm_wk_comm_td,-7.537,+,+,,,,,,,,,,,,,,,,,,1.319,-1.245,,,,,,5,-3397.973,6806,643.7,0
glmm_wk_dem,-7.072,+,+,,,,,,,,,,,,0.5548,-0.622,,,,,,,,,,,,5,-3398.453,6806.9,644.66,0
glmm_wk_comm_td_tgt,-7.589,+,+,,,,,,,,,,,,,,+,+,,,1.321,-1.215,,,,,,9,-3394.637,6807.3,645.04,0
glmm_wk_ungpred,-7.497,+,+,,,,,,,,,,,,,,,,-0.3276,-0.4512,1.321,-1.248,,,,,,7,-3396.776,6807.6,645.31,0
glmm_wk_comm_app,-7.489,+,+,,,,,,,,,,,,,,,,-0.2705,-0.4286,1.396,-1.156,,-0.5062,-40.96,-15.04,-14.08,11,-3395.929,6813.9,651.63,0
glmm_wk_random_eff,-7.498,+,+,,,,,,,,,,,,,,,,,,,,,,,,,3,-3403.959,6813.9,651.67,0
glmm_wk_tgt_h,-7.474,+,+,,,,,,,,,,,,,,+,,,,,,,,,,,5,-3402.295,6814.6,652.34,0
glmm_wk_tgt_l,-7.575,+,+,,,,,,,,,,,,,,,+,,,,,,,,,,5,-3402.302,6814.6,652.36,0
glmm_wk_comm_app_tgt,-7.543,+,+,,,,,,,,,,,,,,+,+,-0.2829,-0.4418,1.394,-1.123,,-0.3022,-38.14,-14.56,-14.36,15,-3392.51,6815.1,652.81,0
glmm_wk_ung,-7.463,+,+,,,,,,,,,,,,,,,,-0.3449,-0.458,,,,,,,,5,-3402.739,6815.5,653.23,0
