x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(wek),cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_hyd),cnd(trg_lnr),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(Grz.Ber),cnd(z.esk_dst_m),cnd(Gry.Wlf:Mos),cnd(Gry.Wlf:Msk),cnd(Grz.Ber:Mos),cnd(Grz.Ber:Msk),df,logLik,AICc,delta,weight
glmm_wk_smr_comm_bu_tgt,-4709,+,+,,-7.937,-21.52,-24.38,-37.61,-31.75,-42.68,-10550,-21.45,-15.66,-0.561,1.469,+,+,,,,,-0.9144,,,,,19,-487.76,1013.7,0,0.904
glmm_wk_smr_lcc_2,-10530,+,+,,-5.844,-17.6,-18.18,-27.84,-22.16,-32.21,-23600,-15.42,-11.58,,,,,,,,,,,,,,12,-497.517,1019.1,5.42,0.06
glmm_wk_smr_comm_bu,-8260,+,+,,-5.388,-15.89,-17.06,-25.85,-21.77,-30.36,-18510,-14.44,-10.92,-0.5624,0.8022,,,,,,,-0.9868,,,,,15,-495.053,1020.2,6.53,0.035
glmm_wk_smr_esker,-13.65,+,+,,,,,,,,,,,,,,,,,,,-3.269,,,,,4,-510.452,1028.9,15.23,0
glmm_wk_smr_tgt_l,-12.82,+,+,,,,,,,,,,,,,,+,,,,,,,,,,5,-510.482,1031,17.29,0
glmm_wk_smr_null,-12.55,+,+,,,,,,,,,,,,,,,,,,,,,,,,3,-512.486,1031,17.29,0
glmm_wk_smr_tgt_h,-12.46,+,+,,,,,,,,,,,,,+,,,,,,,,,,,5,-510.61,1031.2,17.55,0
glmm_wk_smr_ung,-12.9,+,+,,,,,,,,,,,,,,,0.9986,0.5082,,,,,,,,5,-510.62,1031.3,17.57,0
glmm_wk_smr_wk,-13.33,+,+,0.02273,,,,,,,,,,,,,,,,,,,,,,,4,-512.181,1032.4,18.68,0
glmm_wk_smr_comm_td,-12.61,+,+,,,,,,,,,,,,,,,,,1.058,0.0004013,,,,,,5,-512.022,1034.1,20.37,0
glmm_wk_smr_ungpred,-13,+,+,,,,,,,,,,,,,,,1.055,0.4971,1.069,0.04023,,,,,,7,-510.078,1034.2,20.5,0
glmm_wk_smr_dem,-12.62,+,+,,,,,,,,,,,0.08024,0.1339,,,,,,,,,,,,5,-512.426,1034.9,21.18,0
glmm_wk_smr_comm_td_tgt,-12.77,+,+,,,,,,,,,,,,,+,+,,,1.064,0.07769,,,,,,9,-508.864,1035.8,22.08,0
glmm_wk_smr_comm_app,-12.99,+,+,,,,,,,,,,,,,,,1.086,0.5744,1.782,0.198,,-1.807,-10.07,-77.08,-271.1,11,-509.208,1040.5,26.79,0
glmm_wk_smr_comm_app_tgt,-13.08,+,+,,,,,,,,,,,,,+,+,1.019,0.5506,1.764,0.2489,,-2.45,-10.77,-40.25,-174.7,15,-506.333,1042.8,29.08,0
